Session campaign,Segment,Total users_Day0,Total users_Day1,Total users_Day2,Total users_Day3,Total users_Day4,Total users_Day5,Total users_Day6,Total users_Day7,Total users_Day8,Total users_Day9,Total users_Day10,Total users_Day11,Total users_Day12,Total users_Day13,Total users_Day14,Total users_Day15,Total users_Day16,Total users_Day17,Total users_Day18,Total users_Day19,Total users_Day20,Total users_Day21,Total users_Day22,Total users_Day23,Total users_Day24,Total users_Day25,Total users_Day26,Total users_Day27,Total users_Day28,Total users_Day29,Total users_Day30,Total users_Day31,Total users_Day32,Total users_Day33,Total users_Day34,Total users_Day35,Total users_Day36,Total users_Day37,Total users_Day38,Total users_Day39,Total users_Day40,Total users_Day41,Total users_Day42,Total users_Day43,Total users_Day44,Total users_Day45,Total users_Day46,Total users_Day47,Total users_Day48,Total users_Day49,Total users_Day50,Total users_Day51,Total users_Day52,Total users_Day53,Total users_Day54,Total users_Day55,Total users_Day56,Total users_Day57,Total users_Day58,Total users_Day59,Total users_Day60,Total users_Day61,Total users_Day62,Total users_Day63,Total users_Day64,Total users_Day65,Total users_Day66,Total users_Day67,Total users_Day68,Total users_Day69,Total users_Day70,Total users_Day71,Total users_Day72,Total users_Day73,Total users_Day74,Total users_Day75,Total users_Day76,Total users_Day77,Total users_Day78,Total users_Day79,Total users_Day80,Total users_Day81,Total users_Day82,Total users_Day83,Total users_Day84,Total users_Day85,Total users_Day86,Total users_Day87,Total users_Day88,Total users_Day89,Total users_Day90,Total users_Day91,Total users_Day92,Total users_Day93,Total users_Day94,Total users_Day95,Total users_Day96,Total users_Day97,Total users_Day98,Total users_Day99,Total users_Day100,Total users_Day101,Total users_Day102,Total users_Day103,Total users_Day104,Total users_Day105,Total users_Day106,Total users_Day107,Total users_Day108,Total users_Day109,Total users_Day110,Total users_Day111,Total users_Day112,Total users_Day113,Total users_Day114,Total users_Day115,Total users_Day116,Total users_Day117,Total users_Day118,Total users_Day119,Total users_Day120,Total users_Day121,Total users_Day122,Total users_Day123,Total users_Day124,Total users_Day125,Total users_Day126,Total users_Day127,Total users_Day128,Total users_Day129,Total users_Day130,Total users_Day131,Total users_Day132,Total users_Day133,Total users_Day134,Total users_Day135,Total users_Day136,Total users_Day137,Total users_Day138,Total users_Day139,Total users_Day140,Total users_Day141,Total users_Day142,Total users_Day143,Total users_Day144,Total users_Day145,Total users_Day146,Total users_Day147,Total users_Day148,Total users_Day149,Total users_Day150,Total users_Day151,Total users_Day152,Total users_Day153,Total users_Day154,Total users_Day155,Total users_Day156,Total users_Day157,Total users_Day158,Total users_Day159,Total users_Day160,Total users_Day161,Total users_Day162,Total users_Day163,Total users_Day164,Total users_Day165,Total users_Day166,Total users_Day167,Total users_Day168,Total users_Day169,Total users_Day170,Total users_Day171,Total users_Day172,Total users_Day173,Total users_Day174,Total users_Day175,Total users_Day176,Total users_Day177,Total users_Day178,Total users_Day179,Total users_Day180,Total users_Day181,Total users_Day182,Total users_Day183,Total users_Day184,Total users_Day185,Total users_Day186,Total users_Day187,Total users_Day188,Total users_Day189,Total users_Day190,Total users_Day191,Total users_Day192,Total users_Day193,Total users_Day194,Total users_Day195,Total users_Day196,Total users_Day197,Total users_Day198,Total users_Day199,Total users_Day200,Total users_Day201,Total users_Day202,Total users_Day203,Total users_Day204,Total users_Day205,Total users_Day206,Total users_Day207,Total users_Day208,Total users_Day209,Total users_Day210,Total users_Day211,Total users_Day212,Total users_Day213,Total users_Day214,Total users_Day215,Total users_Day216,Total users_Day217,Total users_Day218,Total users_Day219,Total users_Day220,Total users_Day221,Total users_Day222,Total users_Day223,Total users_Day224,Total users_Day225,Total users_Day226,Total users_Day227,Total users_Day228,Total users_Day229,Total users_Day230,Total users_Day231,Total users_Day232,Total users_Day233,Total users_Day234,Total users_Day235,Total users_Day236,Total users_Day237,Total users_Day238,Total users_Day239,Total users_Day240,Total users_Day241,Total users_Day242,Total users_Day243,Total users_Day244,Total users_Day245,Total users_Day246,Total users_Day247,Total users_Day248,Total users_Day249,Total users_Day250,Total users_Day251,Total users_Day252,Total users_Day253,Total users_Day254,Total users_Day255,Total users_Day256,Total users_Day257,Total users_Day258,Total users_Day259,Total users_Day260,Total users_Day261,Total users_Day262,Total users_Day263,Total users_Day264,Total users_Day265,Total users_Day266,Total users_Day267,Total users_Day268,Total users_Day269,Total users_Day270,Total users_Day271,Total users_Day272,Total users_Day273,Total users_Day274,Total users_Day275,Total users_Day276,Total users_Day277,Total users_Day278,Total users_Day279,Total users_Day280,Total users_Day281,Total users_Day282,Total users_Day283,Total users_Day284,Total users_Day285,Total users_Day286,Total users_Day287,Total users_Day288,Total users_Day289,Total users_Day290,Total users_Day291,Total users_Day292,Total users_Day293,Total users_Day294,Total users_Day295,Total users_Day296,Total users_Day297,Total users_Day298,Total users_Day299,Total users_Day300,Total users_Day301,Total users_Day302,Total users_Day303,Total users_Day304,Total users_Day305,Total users_Day306,Total users_Day307,Total users_Day308,Total users_Day309,Total users_Day310,Total users_Day311,Total users_Day312,Total users_Day313,Total users_Day314,Total users_Day315,Total users_Day316,Total users_Day317,Total users_Day318,Total users_Day319,Total users_Day320,Total users_Day321,Total users_Day322,Total users_Day323,Total users_Day324,Total users_Day325,Total users_Day326,Total users_Day327,Total users_Day328,Total users_Day329,Total users_Day330,Total users_Day331,Total users_Day332,Total users_Day333,Total users_Day334,Total users_Day335,Total users_Day336,Total users_Day337,Total users_Day338,Total users_Day339,Total users_Day340,Total users_Day341,Total users_Day342,Total users_Day343,Total users_Day344,Total users_Day345,Total users_Day346,Total users_Day347,Total users_Day348,Total users_Day349,Total users_Day350,Total users_Day351,Total users_Day352,Total users_Day353,Total users_Day354,Total users_Day355,Total users_Day356,Total users_Day357,Total users_Day358,Total users_Day359,Total users_Day360,Total users_Day361,Total users_Day362,Total users_Day363,Total users_Day364
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,156,36,282,162,126,6,252,138,0,18,84,6,30,12,120,78,318,78,126,42,30,84,42,150,84,60,24,42,96,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,168,402,108,174,288,216,108,78,24,96,126,84,78,30,0,24,24,12,0,0,24,96,204,138,54,30,12,18,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,120,138,348,354,12,36,42,36,54,108,78,150,120,108,42,24,18,0,60,54,12,6,18,6,6,36,36,66,210,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,240,384,210,84,24,66,24,6,126,24,30,36,36,30,24,96,60,66,132,114,36,18,24,18,12,0,0,42,18,72,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,186,258,30,48,66,6,36,54,120,102,0,24,54,30,6,24,6,54,126,30,66,54,0,12,18,12,60,330,54,138,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,348,138,6,102,12,6,6,6,0,18,6,0,6,30,18,42,12,6,12,30,12,18,6,18,36,156,198,12,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,36,30,0,6,6,30,108,132,120,36,78,168,222,282,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,306,42,288,108,144,72,54,48,24,96,66,42,48,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Strategy Campaigns FY25,66,216,372,18,0,12,0,12,30,30,6,0,6,12,12,12,18,24,0,24,30,42,96,192,36,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - DOT Conference (Display) - 8.15-8.30,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,102,54,54,48,18,30,54,12,54,36,24,30,60,42,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(not set),Strategy Campaigns FY25,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,6,0,0,12,12,6,6,6,0,0,0,0,6,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,24,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,12,6,6,0,0,0,0,6,0,0,6,0,0,0,6,6,0,0,12,0,0,0,0,0,0,6,0,6,0,0,12,6,6,6,0,6,0,6,0,0,0,0,6,0,0,6,12,0,0,0,6,12,24,6,0,0,0,0,12,12,12,30,30,0,6,0,6,0,0,6,0,6,0,0,6,0,0,0,6,0,6,0,0,0,6,0,0,0,0,6,0,0,0,6,6,0,0,0,0,6,12,12,6,0,0,0,0,0,0,0,0,12,0,0,6,6,0,6,0,0,0,0,0,0,0,6,0,6,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aihealth,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,210,0,0,0,0,6,0,6,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,6,0,0,12,24,0,6,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Strategy Campaigns FY25,18,84,6,156,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logo,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,6,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,6,0,0,12,0,0,0,6,0,6,6,6,0,0,0,6,6,0,0,0,0,6,0,0,6,6,0,0,6,0,0,0,6,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
