Campaign,Campaign type,Campaign start date,Campaign end date,Audience segment,Audience segment type,Clicks,Impr.,CTR,TrueView view rate
UCM - DOT Conference (Display) - 8.15-8.30,Display,"Aug 15, 2024","Aug 31, 2024",Technology › Technophiles › Cloud Services Power Users,Affinity segment,3,"6,112",0.05%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Robotics,Custom affinity segment: auto-created,3,953,0.31%,0
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Higher Education,Custom intent segment: auto-created,2,113,1.77%,1.77%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Intelligent Robots,Custom intent segment: auto-created,2,60,3.33%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",STEM Programs,Custom intent segment: auto-created,2,30,6.67%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",Higher Education,Custom intent segment: auto-created,2,22,9.09%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",Space Program Launch Information,Custom intent segment: auto-created,2,35,5.71%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",Universities,Custom intent segment: auto-created,2,173,1.16%,0.58%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Universities,Custom intent segment: auto-created,2,66,3.03%,12.12%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Machine Learning,Custom intent segment: auto-created,2,25,8.00%,16.00%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Machine Learning,Custom intent segment: auto-created,2,226,0.88%,4.87%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Business Services,In-market segment,2,533,0.38%,0
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Carnegie Mellon University Information,Custom intent segment: auto-created,2,663,0.30%,23.68%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Engineering Companies,Custom intent segment: auto-created,1,9,11.11%,11.11%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Mechanical Engineering,Custom intent segment: auto-created,1,105,0.95%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",infrastructure development and systems,Custom intent segment: auto-created,1,99,1.01%,1.01%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Computer Science Education,Custom intent segment: auto-created,1,44,2.27%,2.27%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Computer Science Training,Custom intent segment: auto-created,1,37,2.70%,2.70%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Deep Learning,Custom intent segment: auto-created,1,22,4.55%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Drone Technology,Custom intent segment: auto-created,1,50,2.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Machine Learning,Custom intent segment: auto-created,1,39,2.56%,2.56%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Structured Classroom Information,Custom intent segment: auto-created,1,190,0.53%,4.21%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Lab Chemical Suppliers,Custom intent segment: auto-created,1,6,16.67%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Science and Scientific Research,Custom intent segment: auto-created,1,40,2.50%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Business Advice,Custom intent segment: auto-created,1,60,1.67%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Business Strategies,Custom intent segment: auto-created,1,20,5.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",College Campuses,Custom intent segment: auto-created,1,37,2.70%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",College Education,Custom intent segment: auto-created,1,116,0.86%,4.31%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Deep Learning,Custom intent segment: auto-created,1,12,8.33%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Intelligent Robots,Custom intent segment: auto-created,1,56,1.79%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",Astronomy and Space Science,Custom intent segment: auto-created,1,80,1.25%,1.25%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",College Education,Custom intent segment: auto-created,1,51,1.96%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",Higher Education Courses,Custom intent segment: auto-created,1,16,6.25%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",NASA News and Information,Custom intent segment: auto-created,1,59,1.69%,1.69%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Intelligent Robots,Custom intent segment: auto-created,1,22,4.55%,0.00%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,1,88,1.14%,5.68%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Hybrid Cars,Custom intent segment: auto-created,1,24,4.17%,0.00%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Government Contract Opportunities,Custom intent segment: auto-created,1,29,3.45%,6.90%
