Period,Name,THEME,CMU Due Date,Run Dates - Start,Run Dates - End,Run Dates,Status,Tactic/Category,Campaign Group,Budget,Spend,Vendor,Person,Notes,Call to Action,Creative Submitted,Landing Page (UTM),Quarter (For Charts)
Q4 - Apr-Jun 2025,[LinkedIn] UCM - LinkedIn Expert Video - 2.6.2025 - 6.30.2025,CMU | General Brand,2/6/2025,2/6/2025,6/30/2025,2025-02-06 - 2025-06-30,COMPLETED,Social,"Expert, Research Impact",,,LinkedIn,Jimmy Zackal,Restarted 6.16. PAUSED 6.2 due to gabby pcard ending; PAUSED 3.25 DUE TO P-CARD LIMIT,AI Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/1943780228/March_Melanie%20Gainey_1080%2016x9%20(uncaptioned).mp4, https://carnegiemellon.monday.com/protected_static/2364823/resources/1943780229/February%20-%20Ramayya%20Krishnan_FINAL_30%20SEC%20AD.mp4, https://carnegiemellon.monday.com/protected_static/2364823/resources/1943842161/Screenshot%202025-02-06%20at%203.26.08%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1943842157/Screenshot%202025-02-06%20at%203.26.17%E2%80%AFPM.png",https://ai.cmu.edu/?utm_source=linkedin&utm_medium=video&utm_campaign=expert&utm_content=Gainey,Q4
Q4 - Apr-Jun 2025,[Google] UCM - AI Keyword Campaign - 2.6.2025 - 6.30.2025,CMU | General Brand,2/7/2025,2/7/2025,5/8/2025,2025-02-07 - 2025-05-08,PAUSED,Display & Search,AI,,,Google,Jimmy Zackal,"PAUSED 5.8 per Varun/Research focused, updated spend 04/08",AI Website,,,Q4
Q4 - Apr-Jun 2025,[LinkedIn] UCM - LinkedIn Anthem Video - Audit Audience - 2.13.2025 - 6.30.2025,CMU | General Brand,2/13/2025,2/13/2025,7/7/2025,2025-02-13 - 2025-07-07,PAUSED,Social,"Brand Awareness, Research Impact",,,LinkedIn,Jimmy Zackal,PAUSED 6.2 due to gabby pcard ending; PAUSED 3.25 DUE TO P-CARD LIMIT,CMU Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/1957027736/CMU%20Anthem_30sec.mp4, https://carnegiemellon.monday.com/protected_static/2364823/resources/1957027740/Screenshot%202025-02-06%20at%203.23.55%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1957027743/Screenshot%202025-02-06%20at%203.24.08%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1957027746/Screenshot%202025-02-06%20at%203.22.56%E2%80%AFPM.png",Homepage - CMU - Carnegie Mellon University - https://www.cmu.edu/?utm_source=linkedin&utm_medium=video&utm_campaign=anthem&utm_content=1x1,Q4
Q4 - Apr-Jun 2025,[LinkedIn] UCM - LinkedIn Expert Video - Audit Audience -  2.13.2025 - 6.30.2025 (copy),CMU | General Brand,2/13/2025,2/13/2025,7/7/2025,2025-02-13 - 2025-07-07,PAUSED,Social,"Expert, Research Impact",,,LinkedIn,Jimmy Zackal,PAUSED 6.2 due to gabby pcard ending; PAUSED 3.25 DUE TO P-CARD LIMIT,AI Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/1957029285/March_Melanie%20Gainey_1080%2016x9%20(uncaptioned).mp4, https://carnegiemellon.monday.com/protected_static/2364823/resources/1957029288/February%20-%20Ramayya%20Krishnan_FINAL_30%20SEC%20AD.mp4, https://carnegiemellon.monday.com/protected_static/2364823/resources/1957029299/Screenshot%202025-02-06%20at%203.26.08%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1957029290/Screenshot%202025-02-06%20at%203.26.17%E2%80%AFPM.png",https://ai.cmu.edu/?utm_source=linkedin&utm_medium=video&utm_campaign=expert&utm_content=Gainey,Q4
Q4 - Apr-Jun 2025,[Instagram] Video Campaign,CMU | General Brand,2/19/2025,2/20/2025,6/30/2025,2025-02-20 - 2025-06-30,COMPLETED,Social,"Brand Awareness, student spotlights, Research Impact",,,Meta,Jimmy Zackal,PAUSED 6.2 due to gabby pcard ending; PAUSED 3.25 DUE TO P-CARD LIMIT,CMU Website,https://carnegiemellon.monday.com/protected_static/2364823/resources/1973074080/Student%20Spotlight_Sarah%20Chen_30%20sec_9x16.mp4,,Q4
Q4 - Apr-Jun 2025,Chronicle - Sponsor Content Spring '25,"Apr | AI in Sustainability, Admissions Yield",3/17/2025,4/7/2025,7/7/2025,2025-04-07 - 2025-07-07,Live,Sponsored Content,"Brand Awareness, AI",,,Chronicle,Jimmy Zackal,,CMU Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/2066178582/CMU%20April25%20on-site%20banner.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/2066178597/CMU%20April25%20FB%20Ad.png",https://sponsored.chronicle.com/how-ai-tools-are-reshaping-learning-for-teachers-and-students/index.html,Q4
Q4 - Apr-Jun 2025,[Instagram] UCM - Severance IG post 2 - 3.20.2025-4.20.2025,Social Media Boost,3/20/2025,3/20/2025,4/20/2025,2025-03-20 - 2025-04-20,COMPLETED,Social,Owned News Content,,,Meta,Jimmy Zackal,"4/7 Restarted, PAUSED 3.25 DUE TO P-CARD LIMIT",Boost,,,Q4
Q4 - Apr-Jun 2025,[Instagram] UCM - SXSW IG Boost - 3.20.2025-4.20.2025,Social Media Boost,3/20/2025,3/20/2025,4/20/2025,2025-03-20 - 2025-04-20,COMPLETED,Social,SXSW,,,Meta,Jimmy Zackal,"4/7 Restarted, PAUSED 3.25 DUE TO P-CARD LIMIT",Boost,,,Q4
Q4 - Apr-Jun 2025,[Podcast] Episode One - Google Ad,CMU | General Brand,3/24/2025,4/1/2025,5/1/2025,2025-04-01 - 2025-05-01,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,updated spend 04/11,Podcast Episode,,,Q4
Q4 - Apr-Jun 2025,Spotify - Anthem,CMU | General Brand,3/31/2025,4/1/2025,6/30/2025,2025-04-01 - 2025-06-30,COMPLETED,Audio,"Brand Awareness, Research Impact",,,Spotify,Jimmy Zackal,updated spend 04/08,CMU Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/2049971395/Screenshot%202025-03-31%20at%201.50.05%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/2049971406/Screenshot%202025-03-31%20at%201.49.42%E2%80%AFPM.png",,Q4
Q4 - Apr-Jun 2025,Spotify - Podcast,CMU | General Brand,3/31/2025,4/1/2025,6/30/2025,2025-04-01 - 2025-06-30,COMPLETED,Audio,Podcast,,,Spotify,Jimmy Zackal,updated spend 04/08,Podcast Episode,https://carnegiemellon.monday.com/protected_static/2364823/resources/2049005553/Screenshot%202025-03-31%20at%2011.10.35%E2%80%AFAM.png,,Q4
Q4 - Apr-Jun 2025,Spotify - Student Spotlight,CMU | General Brand,3/31/2025,4/1/2025,6/30/2025,2025-04-01 - 2025-06-30,COMPLETED,Audio,"student spotlights, Research Impact",,,Spotify,Jimmy Zackal,updated spend 04/08,CMU Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/2049467655/Screenshot%202025-03-31%20at%201.27.37%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/2049467686/Screenshot%202025-03-31%20at%201.28.20%E2%80%AFPM.png",,Q4
Q4 - Apr-Jun 2025,Chronicle - Targeted Email,"Apr | AI in Sustainability, Admissions Yield",4/2/2025,4/16/2025,4/16/2025,2025-04-16 - 2025-04-16,COMPLETED,Email,"AI, Owned News Content",,,Chronicle,Jimmy Zackal,UCM-25-231 Chronicle of Higher Education,AI Website,https://carnegiemellon.monday.com/protected_static/2364823/resources/2059744950/Chronicle%20-%20April%202025.html,,Q4
Q4 - Apr-Jun 2025,[Podcast] Episode Two - Google Ad,CMU | General Brand,4/10/2025,4/10/2025,5/10/2025,2025-04-10 - 2025-05-10,COMPLETED,Video,Podcast,,,Google,Jimmy Zackal,updated spend 04/11,Podcast Episode,,,Q4
Q4 - Apr-Jun 2025,Chronicle - Newsletter Advertisement (970 x 250),"Apr | AI in Sustainability, Admissions Yield",4/15/2025,4/29/2025,4/29/2025,2025-04-29 - 2025-04-29,COMPLETED,Email,Podcast,,,Chronicle,Jimmy Zackal,,Podcast Episode,https://carnegiemellon.monday.com/protected_static/2364823/resources/2048657241/CMU_General_970x250.jpg,Where What If Becomes What's Next Podcast - Where What If Becomes What's Next Podcast - Carnegie Mellon University - https://www.cmu.edu/whats-next-podcast/?utm_source=che&utm_medium=display&utm_campaign=wiwn,Q4
